3616 Main Street Adamsville  AL 35005,33.587398411498796,-86.935968390189,AL
230 Scotland Drive Alabaster  AL 35007,33.1863435774966,-86.75920329175409,AL
Highway 31 North Alabaster  AL 35007,33.244281300000004,-86.8163773,AL
718 1st Street North Alabaster  AL 35007,33.249838734285696,-86.81516255704528,AL
1565 Simmsville Road Alabaster  AL 35007,33.257737,-86.8007002,AL
1314 1st Street North Alabaster  AL 35007,33.2593896262626,-86.8124212828283,AL
1851 Washington Street Alexander City  AL 35010,32.941215,-85.96826300000001,AL
110 Broad Street Alexander City  AL 35010,32.9438297145557,-85.95559893700221,AL
316 Tallapoosa Street Alexander City  AL 35010,32.9437521116081,-85.949576897711,AL
117 3rd Avenue Northwest Aliceville  AL 35442,33.1294665218785,-88.1579492689558,AL
2890 Main Street Altoona  AL 35952,34.026288874766195,-86.32610449349372,AL
2896 Main Street Altoona  AL 35952,34.0263152186915,-86.32604037337342,AL
210 Pond Street East Bridgewater  MA 2333,42.0115576272174,-70.9174244185831,MA
507 Stanley Avenue Andalusia  AL 36420,31.302408284635,-86.4707160210882,AL
Highway 29 North Andalusia  AL 36420,31.308503899999998,-86.4832033,AL
421 South Three Notch Street Andalusia  AL 36420,31.303366384615398,-86.4865750384615,AL
1500 Quintard Avenue Anniston  AL 36201,33.674726,-85.827278,AL
1229 Wilmer Avenue Anniston  AL 36201,33.6601785714286,-85.8283638571429,AL
875 Coldwater Road Anniston  AL 36201,33.6112886,-85.9286802,AL
4901 Choccolocco Road Anniston  AL 36207,33.648446,-85.753398,AL
2615 West Jefferson Street Anniston  AL 36201,33.6496789678014,-85.8665451081115,AL
901 South Quintard Avenue Anniston  AL 36201,33.63624,-85.82519,AL
831 West 15th Street Anniston  AL 36201,33.6637795087494,-85.8399214124206,AL
10350 Choccolocco Road Anniston  AL 36207,33.648446,-85.753398,AL
1128 Ferron Avenue Anniston  AL 36201,33.6586145144024,-85.8513813880817,AL
1203 Quintard Avenue Anniston  AL 36201,33.659926295918396,-85.826952,AL
5112 Saks Road Anniston  AL 36206,33.696428999999995,-85.834066,AL
5105 Choccolocco Road Anniston  AL 36207,33.648446,-85.753398,AL
1731 Quintard Avenue Anniston  AL 36201,33.6668458955413,-85.8269709341584,AL
1005 Quintard Drive Anniston  AL 36203,33.620135,-85.828288,AL
26590 Main Street Ardmore  AL 35739,34.9917245,-86.8452809,AL
30314 Ardmore Avenue Ardmore  AL 35739,34.9881671617647,-86.84666710294121,AL
1826 Old Highway 84 Ashford  AL 36312,31.180115999999998,-85.228364,AL
1510 US Highway 72 East Athens  AL 35611,34.781729,-86.9371290366511,AL
25510 Nick Davis Road Athens  AL 35613,34.7980097,-86.9301085,AL
113 East Elm Street Athens  AL 35611,41.9555406785407,-76.5192174016153,AL
700 East Nashville Avenue Atmore  AL 36502,31.024263,-87.482232,AL
1204 East Nashville Avenue Atmore  AL 36502,31.0242162244898,-87.4808289387755,AL
1300 East Nashville Avenue Atmore  AL 36502,31.024263,-87.482232,AL
1613 South Main Street Atmore  AL 36502,31.0215104,-87.4937914,AL
617 Cleveland Avenue Attalla  AL 35954,34.0179166699705,-86.0768081209054,AL
204 Opelika Road Auburn  AL 36830,32.6119845,-85.4797305,AL
1599 South College Street Auburn  AL 36832,32.577727,-85.49766,AL
772 East Glenn Avenue Auburn  AL 36830,32.6089189047747,-85.46588819421129,AL
802 Opelika Road Auburn  AL 36830,32.61654275,-85.4640791776216,AL
2416 South College Street Auburn  AL 36832,32.5713973,-85.49991779999999,AL
120 East Samford Avenue Auburn  AL 36830,32.5986713540419,-85.48130202844271,AL
1791 Shug Jordan Parkway Auburn  AL 36830,32.577663,-85.49781800000001,AL
191 North College Street Auburn  AL 36830,32.608122059390396,-85.4816483330723,AL
804 East Glenn Avenue Auburn  AL 36830,32.608914795918395,-85.464675122449,AL
302 East 2nd Street Bay Minette  AL 36507,30.884041591836702,-87.7716943673469,AL
415 Dolive Street Bay Minette  AL 36507,30.874503999999998,-87.790014,AL
12905 North Wintzell Avenue Bayou La Batre  AL 36509,30.4170239883277,-88.2443360771002,AL
3801 Bessemer Super Highway Bessemer  AL 35020,33.42805,-86.94351,AL
1730 9th Avenue South Birmingham  AL 35205,33.5014324489796,-86.80210385714291,AL
1228 18th Street North Bessemer  AL 35020,33.4079748571429,-86.966053,AL
1401 Carolina Avenue Bessemer  AL 35020,33.3953526875,-86.95460995833331,AL
906 9th Avenue North Bessemer  AL 35020,33.3958378877551,-86.96945398979591,AL
1300 Hueytown Road Bessemer  AL 35023,33.4402303,-86.9944619,AL
2921 Morgan Road Bessemer  AL 35022,33.3364551963525,-86.9172960457283,AL
2108 19th Street North Bessemer  AL 35020,33.415574400000004,-86.9766808,AL
1823 19th Street North Bessemer  AL 35020,33.4136130201005,-86.9728278241206,AL
1430 9th Avenue North Bessemer  AL 35020,33.4010784130435,-86.9656263478261,AL
998 Academy Drive Bessemer  AL 35022,33.3693229405475,-87.0067823303327,AL
1700 4th Avenue Southwest Bessemer  AL 35022,33.377012,-86.975288,AL
4101 1st Avenue North Birmingham  AL 35222,33.528154,-86.77671099999999,AL
2236 Highland Avenue South Birmingham  AL 35205,33.5021218163265,-86.7899339795918,AL
7500 5th Avenue South Birmingham  AL 35206,33.555053,-86.724677,AL
1381 Bessemer Road Birmingham  AL 35208,33.4804763207547,-86.8947395471698,AL
600 20th Street Ensley Birmingham  AL 35218,33.512572,-86.898127,AL
1148 Arkadelphia Road Birmingham  AL 35204,33.5228616944444,-86.84963413888892,AL
1801 Avenue V Birmingham  AL 35218,33.511146999999994,-86.879306,AL
6512 43rd Avenue North Birmingham  AL 35206,33.5627229387755,-86.7437437959184,AL
4101 3rd Avenue South Birmingham  AL 35222,33.523664000000004,-86.773676,AL
1331 1st Avenue North Birmingham  AL 35203,33.5099663265306,-86.8148803673469,AL
1900 Finley Boulevard Birmingham  AL 35234,33.542648699999994,-86.8250054,AL
2390 Center Point Parkway Birmingham  AL 35215,33.64899084375,-86.6834456875,AL
700 Valley Avenue Birmingham  AL 35209,33.4757445,-86.8160912,AL
1608 Bessemer Road Birmingham  AL 35208,33.4874048686869,-86.8886086363636,AL
3100 Cahaba Heights Road Birmingham  AL 35243,33.454836,-86.735327,AL
4901 Cahaba River Road Birmingham  AL 35243,33.428411254231,-86.7300702358658,AL
2160 Carson Road Birmingham  AL 35215,33.639706373464,-86.7036529218157,AL
170 Cleage Drive Birmingham  AL 35217,33.625157690441604,-86.7409868094667,AL
3104 Clairmont Avenue South Birmingham  AL 35205,33.5118342040816,-86.78302057142858,AL
860 Montclair Road Birmingham  AL 35213,33.5156847142857,-86.7462001632653,AL
80 Church Street Birmingham  AL 35213,33.564318,-86.65339490000001,AL
5524 Crestwood Boulevard Birmingham  AL 35212,33.5291764,-86.7473517622381,AL
7801 Crestwood Boulevard Birmingham  AL 35210,33.53085096,-86.71909014,AL
1557 Montclair Road Birmingham  AL 35210,33.525039530303005,-86.7232638636364,AL
2224 Center Point Parkway Birmingham  AL 35215,33.613543,-86.686672,AL
4701 5th Avenue South Birmingham  AL 35222,33.527367,-86.761702,AL
401 Azalea Way Birmingham  AL 35215,33.609532,-86.69856999999999,AL
1301 Forestdale Boulevard Birmingham  AL 35214,33.5615605,-86.89323657142859,AL
490 Forestdale Boulevard Birmingham  AL 35214,33.5397587,-86.8705534,AL
1601 Forestdale Boulevard Birmingham  AL 35214,33.569770795918394,-86.8997646734694,AL
800 10th Avenue South Birmingham  AL 35205,33.494196,-86.813748,AL
3300 Crestwood Boulevard Birmingham  AL 35210,33.5368127,-86.69512840000002,AL
225 Dugan Avenue Birmingham  AL 35214,33.5395784526316,-86.87898,AL
1030 Woodward Road Birmingham  AL 35228,33.461422,-86.908674,AL
800 Graymont Avenue West Birmingham  AL 35204,33.509445,-86.84949915615108,AL
250 Green Springs Highway Birmingham  AL 35209,33.4680027142399,-86.8234375118909,AL
801 Green Springs Highway Birmingham  AL 35209,33.462231,-86.818862,AL
416 10th Street North Birmingham  AL 35203,33.5109738,-86.82198129999999,AL
2700 University Boulevard Birmingham  AL 35233,33.498635,-86.8145203,AL
700 Springville Road Birmingham  AL 35215,33.608210799999995,-86.688261,AL
16 64th Street North Birmingham  AL 35212,33.54701,-86.743241,AL
5400 Beacon Drive Birmingham  AL 35210,33.5306656778458,-86.69667048469151,AL
1729 Jefferson Avenue Southwest Birmingham  AL 35211,33.478288,-86.86619499999999,AL
1844 Jefferson Avenue Southwest Birmingham  AL 35211,33.47828925,-86.86640060714291,AL
9933 Parkway East Birmingham  AL 35215,33.6087848888889,-86.68868688888891,AL
2032 Green Springs Highway South Birmingham  AL 35205,33.4845488,-86.8231734,AL
2220 8th Avenue North Birmingham  AL 35203,33.583110999999995,-86.7276305,AL
3020 12th Avenue North Birmingham  AL 35234,33.5338285833333,-86.8002555,AL
4529 7th Avenue Birmingham  AL 35224,33.505817142857104,-86.9225922857143,AL
1200 25th Street North Birmingham  AL 35234,33.531103,-86.807985,AL
604 Bessemer Super Highway Birmingham  AL 35228,33.451017023648895,-86.9243482290632,AL
2702 Cahaba Road Birmingham  AL 35223,33.4842158648649,-86.77390451351351,AL
5408 Jefferson Avenue Southwest Birmingham  AL 35221,33.4385907755102,-86.9125347142857,AL
2721 Cahaba Road Birmingham  AL 35223,33.4843253076923,-86.7737474615385,AL
3401 26th Street North Birmingham  AL 35207,33.55585,-86.81960699999999,AL
208 Oxmoor Road Birmingham  AL 35209,33.472421999999995,-86.811431,AL
35 East Wheelock Parkway Saint Paul  MN 55101,44.9902510880327,-93.0984823128453,MN
1283 Center Point Parkway Birmingham  AL 35215,33.6178369053368,-86.68493577630709,AL
3901 Pinson Valley Parkway Birmingham  AL 35217,33.6306219359506,-86.7293953023217,AL
1017 3rd Avenue West Birmingham  AL 35204,33.5052916087214,-86.8543140360796,AL
3833 East Lake Boulevard Birmingham  AL 35217,33.5535044693878,-86.78150974489799,AL
7764 Crestwood Boulevard Birmingham  AL 35210,33.5308072857143,-86.71999555102042,AL
301 Robison Drive Birmingham  AL 35215,33.591158,-86.701571,AL
229 Gadsden Highway Birmingham  AL 35235,33.5879357447248,-86.69556708841249,AL
9245 Parkway East Birmingham  AL 35206,33.5870809545455,-86.7006570909091,AL
1502 Sheridan Avenue Cody  WY 82414,44.525988,-109.05656418781,WY
1200 Grants Mill Road Birmingham  AL 35210,33.498742,-86.649653,AL
1716 20th Street Birmingham  AL 35218,33.5095438686869,-86.8871006060606,AL
9401 Parkway East Birmingham  AL 35215,33.5910563333333,-86.6971095,AL
1701 Key Drive Birmingham  AL 35242,33.427529,-86.708023,AL
1250 Columbiana Road Birmingham  AL 35216,33.464106,-86.818277,AL
1 32nd Street South Birmingham  AL 35233,33.520878,-86.788158,AL
2817 29th Avenue North Birmingham  AL 35207,33.551804,-86.81383000000001,AL
1716 20th Street Southwest Birmingham  AL 35211,33.4672689476455,-86.86998378945391,AL
1001 Gadsden Highway Birmingham  AL 35235,33.58686555,-86.6601439,AL
520 8th Street South Birmingham  AL 35233,33.4999416734694,-86.81781508163272,AL
6601 1st Avenue North Birmingham  AL 35206,33.549711,-86.740394,AL
3404 9th Avenue North Birmingham  AL 35222,33.5358321,-86.7843431,AL
1800 Pinson Valley Parkway Birmingham  AL 35217,33.641123,-86.72515,AL
1135 Pinson Valley Parkway Birmingham  AL 35217,33.641123,-86.72515,AL
5300 Bessemer Super Highway Birmingham  AL 35228,33.447321,-86.928225,AL
1501 19th Street Ensley Birmingham  AL 35218,33.510523,-86.890233,AL
2320 University Boulevard Birmingham  AL 35233,33.5088905,-86.7905332,AL
